"oid","typ","cid","tna","rnk","tid","oei","oli","eag","lag","rid","lng","lat"
150070,"occ",13293,"Cuon",5,41204,"Middle Pleistocene","Late Pleistocene",0.781,0.0117,4412,111.566666,22.766666
186572,"occ",18320,"Canis",5,41198,"Late Hemphillian","Blancan",10.3,1.8,6086,-85.791946,40.454445
186573,"occ",18320,"Vulpes",5,41248,"Late Hemphillian","Blancan",10.3,1.8,6086,-85.791946,40.454445
186574,"occ",18320,"Borophagus",5,41196,"Late Hemphillian","Blancan",10.3,1.8,6086,-85.791946,40.454445
192926,"occ",19617,"Canis edwardii",3,44838,"Blancan","Irvingtonian",4.9,0.3,2673,-112.400002,35.700001
192927,"occ",19617,"Canis armbrusteri",3,44827,"Blancan","Irvingtonian",4.9,0.3,2673,-112.400002,35.700001
192928,"occ",19617,"Canis latrans",3,44854,"Blancan","Irvingtonian",4.9,0.3,1813,-112.400002,35.700001
192991,"occ",19624,"Canis",5,41198,"Blancan",NA,4.9,1.8,2040,-110.199997,32
193006,"occ",19625,"Canis",5,41198,"Blancan",NA,4.9,1.8,2252,-110.199997,32
193007,"occ",19625,"Borophagus",5,41196,"Blancan",NA,4.9,1.8,2252,-110.199997,32
193024,"occ",19628,"Borophagus",5,41196,"Blancan",NA,4.9,1.8,2040,-110.300003,31.966667
193070,"occ",19631,"Borophagus diversidens",3,44593,"Blancan",NA,4.9,1.8,3558,-110.199997,32
193094,"occ",19636,"Canis",5,41198,"Blancan",NA,4.9,1.8,2252,-110.199997,32
193112,"occ",19638,"Canis",5,41198,"Blancan",NA,4.9,1.8,2040,-110.199997,32
193153,"occ",19647,"Canis",5,41198,"Blancan",NA,4.9,1.8,2040,-110.199997,32
193156,"occ",19648,"Canidae",9,41189,"Blancan",NA,4.9,1.8,2252,-110.800003,31.700001
193211,"occ",19652,"Canidae",9,41189,"Blancan","Irvingtonian",4.9,0.3,6199,-109.4842,32.578499
193242,"occ",19654,"Canidae",9,41189,"Blancan",NA,4.9,1.8,6199,-109.099998,32.700001
193270,"occ",19656,"Urocyon",5,41247,"Blancan",NA,4.9,1.8,1584,-109.599998,33
193271,"occ",19656,"Canis latrans",3,44854,"Blancan",NA,4.9,1.8,6294,-109.599998,33
